NEWP_10,NEWP_5,NEWP_2,NEWP_8,Quantity_Sold,QSOLD10,QSOLD5,QSOLD2,Unit_Cost,VC_10,VC10SUM,VC_5,VC5SUM,VC_2,VC2SUM,,Sales_10_10,Rev_10_10,,Sales_10_5,Rev_10_5,,Sales_10_2,Rev_10_2,,CI_10_10,CI_10_5,CI_10_2,,SALES_5_10,REV_5_10,SALE_5_5,REV_5_5,SALE_5_2,REV_5_2,CI_5_10,CI_5_5,CI_5_2,SALE_2_10,REV_2_10,SALE_2_5,REV_2_5,SALE_2_2,REV_2_2,CI_2_10,CI_2_5,CI_2_2,SALE_8_10,REV_8_10,SALE_8_5,REV_8_5,SALE_8_2,REV_8_2,CI_8_10,CI_8_5,CI_8_2,Unit_Price,9%,SALE_9_10,REV_9_10,SALE_9_5,REV_9_5,SALE_9_2,REV_9_2,CI_9_10,CI_9_5,CI_9_2
4530.915,4782.6325,4933.663,4631.602,40,36,38,39.2,4904.93,176577.48,,186387.34,,192273.256,,,163112.94,,,172174.77,,,177611.868,,,,,,,172174.77,,181740.035,,187479.194,,,,,177611.868,,187479.194,,193399.5896,,,,,166737.672,,176000.876,,181558.7984,,,,,5034.35,4581.2585,164925.306,,174087.823,,179585.3332,,,,
2888.298,3048.759,3145.0356,2952.4824,19,17.1,18.05,18.62,3049.33,52143.543,,55040.4065,,56778.5246,,,49389.8958,,,52133.7789,,,53780.10876,,,,,,,52133.7789,,55030.09995,,56767.89258,,,,,53780.10876,,56767.89258,,58560.56287,,,,,50487.44904,,53292.30732,,54975.22229,,,,,3209.22,2920.3902,49938.67242,,52713.04311,,54377.66552,,,,
2511.09,2650.595,2734.298,2566.892,15,13.5,14.25,14.7,2543.36,34335.36,,36242.88,,37387.392,,,33899.715,,,35783.0325,,,36913.023,,,,,,,35783.0325,,37770.97875,,38963.7465,,,,,36913.023,,38963.7465,,40194.1806,,,,,34653.042,,36578.211,,37733.3124,,,,,2790.1,2538.991,34276.3785,,36180.62175,,37323.1677,,,,
3995.208,4217.164,4350.3376,4083.9904,9,8.1,8.55,8.82,4398.16,35625.096,,37604.268,,38791.7712,,,32361.1848,,,34159.0284,,,35237.73456,,,,,,,34159.0284,,36056.7522,,37195.38648,,,,,35237.73456,,37195.38648,,38369.97763,,,,,33080.32224,,34918.11792,,36020.79533,,,,,4439.12,4039.5992,32720.75352,,34538.57316,,35629.26494,,,,
4566.978,4820.699,4972.9316,4668.4664,10,9,9.5,9.8,4764.96,42884.64,,45267.12,,46696.608,,,41102.802,,,43386.291,,,44756.3844,,,,,,,43386.291,,45796.6405,,47242.8502,,,,,44756.3844,,47242.8502,,48734.72968,,,,,42016.1976,,44350.4308,,45750.97072,,,,,5074.42,4617.7222,41559.4998,,43868.3609,,45253.67756,,,,
3849.291,4063.1405,4191.4502,3934.8308,44,39.6,41.8,43.12,3784.96,149884.416,,158211.328,,163207.4752,,,152431.9236,,,160900.3638,,,165981.4279,,,,,,,160900.3638,,169839.2729,,175202.6184,,,,,165981.4279,,175202.6184,,180735.3326,,,,,155819.2997,,164475.9274,,169669.9041,,,,,4276.99,3892.0609,154125.6116,,162688.1456,,167825.666,,,,
2197.611,2319.7005,2392.9542,2246.4468,31,27.9,29.45,30.38,2254.99,62914.221,,66409.4555,,68506.5962,,,61313.3469,,,64719.64395,,,66763.42218,,,,,,,64719.64395,,68315.17973,,70472.50119,,,,,66763.42218,,70472.50119,,72697.9486,,,,,62675.86572,,66157.85826,,68247.05378,,,,,2441.79,2222.0289,61994.60631,,65438.75111,,67505.23798,,,,
3024.36,3192.38,3293.192,3091.568,23,20.7,21.85,22.54,2981.5,61717.05,,65145.775,,67203.01,,,62604.252,,,66082.266,,,68169.0744,,,,,,,66082.266,,69753.503,,71956.2452,,,,,68169.0744,,71956.2452,,74228.54768,,,,,63995.4576,,67550.7608,,69683.94272,,,,,3360.4,3057.964,63299.8548,,66816.5134,,68926.50856,,,,
3397.185,3585.9175,3699.157,3472.678,30,27,28.5,29.4,3519.63,95030.01,,100309.455,,103477.122,,,91723.995,,,96819.7725,,,99877.239,,,,,,,96819.7725,,102198.6488,,105425.9745,,,,,99877.239,,105425.9745,,108755.2158,,,,,93762.306,,98971.323,,102096.7332,,,,,3774.65,3434.9315,92743.1505,,97895.54775,,100986.9861,,,,
975.852,1030.066,1062.5944,997.5376,33,29.7,31.35,32.34,1011.65,30046.005,,31715.2275,,32716.761,,,28982.8044,,,30592.9602,,,31559.05368,,,,,,,30592.9602,,32292.5691,,33312.33444,,,,,31559.05368,,33312.33444,,34364.3029,,,,,29626.86672,,31272.80376,,32260.36598,,,,,1084.28,986.6948,29304.83556,,30932.88198,,31909.70983,,,,
2303.055,2431.0025,2507.771,2354.234,9,8.1,8.55,8.82,2263.65,18335.565,,19354.2075,,19965.393,,,18654.7455,,,19691.12025,,,20312.9451,,,,,,,19691.12025,,20785.07138,,21441.44205,,,,,20312.9451,,21441.44205,,22118.54022,,,,,19069.2954,,20128.7007,,20764.34388,,,,,2558.95,2328.6445,18862.02045,,19909.91048,,20538.64449,,,,
3883.104,4098.832,4228.2688,3969.3952,47,42.3,44.65,46.06,4157.62,175867.326,,185637.733,,191499.9772,,,164255.2992,,,173380.5936,,,178855.7702,,,,,,,173380.5936,,183012.8488,,188792.2019,,,,,178855.7702,,188792.2019,,194754.0609,,,,,167905.417,,177233.4957,,182830.3429,,,,,4314.56,3926.2496,166080.3581,,175307.0446,,180843.0566,,,,
2985.975,3151.8625,3251.395,3052.33,1,0.9,0.95,0.98,3290.89,2961.801,,3126.3455,,3225.0722,,,2687.3775,,,2836.67625,,,2926.2555,,,,,,,2836.67625,,2994.269375,,3088.82525,,,,,2926.2555,,3088.82525,,3186.3671,,,,,2747.097,,2899.7135,,2991.2834,,,,,3317.75,3019.1525,2717.23725,,2868.194875,,2958.76945,,,,
2165.922,2286.251,2358.4484,2214.0536,44,39.6,41.8,43.12,2085.46,82584.216,,87172.228,,89925.0352,,,85770.5112,,,90535.5396,,,93394.55664,,,,,,,90535.5396,,95565.2918,,98583.14312,,,,,93394.55664,,98583.14312,,101696.295,,,,,87676.52256,,92547.44048,,95469.99123,,,,,2406.58,2189.9878,86723.51688,,91541.49004,,94432.27394,,,,
3388.068,3576.294,3689.2296,3463.3584,35,31.5,33.25,34.3,3333.64,105009.66,,110843.53,,114343.852,,,106724.142,,,112653.261,,,116210.7324,,,,,,,112653.261,,118911.7755,,122666.8842,,,,,116210.7324,,122666.8842,,126540.5753,,,,,109095.7896,,115156.6668,,118793.1931,,,,,3764.52,3425.7132,107909.9658,,113904.9639,,117501.9628,,,,
732.726,773.433,797.8572,749.0088,11,9.9,10.45,10.78,635.2,6288.48,,6637.84,,6847.456,,,7253.9874,,,7656.9867,,,7898.78628,,,,,,,7656.9867,,8082.37485,,8337.60774,,,,,7898.78628,,8337.60774,,8600.900616,,,,,7415.18712,,7827.14196,,8074.314864,,,,,814.14,740.8674,7334.58726,,7742.06433,,7986.550572,,,,
2014.785,2126.7175,2193.877,2059.558,34,30.6,32.3,33.32,2037.41,62344.746,,65808.343,,67886.5012,,,61652.421,,,65077.5555,,,67132.6362,,,,,,,65077.5555,,68692.97525,,70862.2271,,,,,67132.6362,,70862.2271,,73099.98164,,,,,63022.4748,,66523.7234,,68624.47256,,,,,2238.65,2037.1715,62337.4479,,65800.63945,,67878.55438,,,,
3980.331,4201.4605,4334.1382,4068.7828,16,14.4,15.2,15.68,3975.99,57254.256,,60435.048,,62343.5232,,,57316.7664,,,60501.0312,,,62411.59008,,,,,,,60501.0312,,63862.1996,,65878.90064,,,,,62411.59008,,65878.90064,,67959.28698,,,,,58590.47232,,61845.49856,,63798.5143,,,,,4422.59,4024.5569,57953.61936,,61173.26488,,63105.05219,,,,
1395.171,1472.6805,1519.1862,1426.1748,9,8.1,8.55,8.82,1141.52,9246.312,,9759.996,,10068.2064,,,11300.8851,,,11928.71205,,,12305.40822,,,,,,,11928.71205,,12591.41828,,12989.04201,,,,,12305.40822,,12989.04201,,13399.22228,,,,,11552.01588,,12193.79454,,12578.86174,,,,,1550.19,1410.6729,11426.45049,,12061.2533,,12442.13498,,,,
1197.756,1264.298,1304.2232,1224.3728,32,28.8,30.4,31.36,970.51,27950.688,,29503.504,,30435.1936,,,34495.3728,,,36411.7824,,,37561.62816,,,,,,,36411.7824,,38434.6592,,39648.38528,,,,,37561.62816,,39648.38528,,40900.43955,,,,,35261.93664,,37220.93312,,38396.33101,,,,,1330.84,1211.0644,34878.65472,,36816.35776,,37978.97958,,,,
4399.614,4644.037,4790.6908,4497.3832,15,13.5,14.25,14.7,4756.55,64213.425,,67780.8375,,69921.285,,,59394.789,,,62694.4995,,,64674.3258,,,,,,,62694.4995,,66177.52725,,68267.3439,,,,,64674.3258,,68267.3439,,70423.15476,,,,,60714.6732,,64087.7106,,66111.53304,,,,,4888.46,4448.4986,60054.7311,,63391.10505,,65392.92942,,,,
1390.5,1467.75,1514.1,1421.4,12,10.8,11.4,11.76,1088.99,11761.092,,12414.486,,12806.5224,,,15017.4,,,15851.7,,,16352.28,,,,,,,15851.7,,16732.35,,17260.74,,,,,16352.28,,17260.74,,17805.816,,,,,15351.12,,16203.96,,16715.664,,,,,1545,1405.95,15184.26,,16027.83,,16533.972,,,,
1284.489,1355.8495,1398.6658,1313.0332,33,29.7,31.35,32.34,1341.55,39844.035,,42057.5925,,43385.727,,,38149.3233,,,40268.73015,,,41540.37426,,,,,,,40268.73015,,42505.88183,,43848.17283,,,,,41540.37426,,43848.17283,,45232.85197,,,,,38997.08604,,41163.59082,,42463.49369,,,,,1427.21,1298.7611,38573.20467,,40716.16049,,42001.93397,,,,
4650.048,4908.384,5063.3856,4753.3824,45,40.5,42.75,44.1,4849.6,196408.8,,207320.4,,213867.36,,,188326.944,,,198789.552,,,205067.1168,,,,,,,198789.552,,209833.416,,216459.7344,,,,,205067.1168,,216459.7344,,223295.305,,,,,192511.9872,,203207.0976,,209624.1638,,,,,5166.72,4701.7152,190419.4656,,200998.3248,,207345.6403,,,,
3339.828,3525.374,3636.7016,3414.0464,14,12.6,13.3,13.72,3686.81,46453.806,,49034.573,,50583.0332,,,42081.8328,,,44419.7124,,,45822.44016,,,,,,,44419.7124,,46887.4742,,48368.13128,,,,,45822.44016,,48368.13128,,49895.54595,,,,,43016.98464,,45406.81712,,46840.71661,,,,,3710.92,3376.9372,42549.40872,,44913.26476,,46331.57838,,,,
3454.578,3646.499,3761.6516,3531.3464,8,7.2,7.6,7.84,3513,25293.6,,26698.8,,27541.92,,,24872.9616,,,26254.7928,,,27083.89152,,,,,,,26254.7928,,27713.3924,,28588.55216,,,,,27083.89152,,28588.55216,,29491.34854,,,,,25425.69408,,26838.23264,,27685.75578,,,,,3838.42,3492.9622,25149.32784,,26546.51272,,27384.82365,,,,
3976.011,4196.9005,4329.4342,4064.3668,8,7.2,7.6,7.84,4271.99,30758.328,,32467.124,,33492.4016,,,28627.2792,,,30217.6836,,,31171.92624,,,,,,,30217.6836,,31896.4438,,32903.69992,,,,,31171.92624,,32903.69992,,33942.76413,,,,,29263.44096,,30889.18768,,31864.63571,,,,,4417.79,4020.1889,28945.36008,,30553.43564,,31518.28098,,,,
768.294,810.977,836.5868,785.3672,27,24.3,25.65,26.46,623.32,15146.676,,15988.158,,16493.0472,,,18669.5442,,,19706.7411,,,20329.05924,,,,,,,19706.7411,,20801.56005,,21458.45142,,,,,20329.05924,,21458.45142,,22136.08673,,,,,19084.42296,,20144.66868,,20780.81611,,,,,853.66,776.8306,18876.98358,,19925.70489,,20554.93768,,,,
3351.294,3537.477,3649.1868,3425.7672,12,10.8,11.4,11.76,3544.48,38280.384,,40407.072,,41683.0848,,,36193.9752,,,38204.7516,,,39411.21744,,,,,,,38204.7516,,40327.2378,,41600.72952,,,,,39411.21744,,41600.72952,,42914.43677,,,,,36998.28576,,39053.74608,,40287.02227,,,,,3723.66,3388.5306,36596.13048,,38629.24884,,39849.11986,,,,
2374.119,2506.0145,2585.1518,2426.8772,1,0.9,0.95,0.98,2543.26,2288.934,,2416.097,,2492.3948,,,2136.7071,,,2255.41305,,,2326.63662,,,,,,,2255.41305,,2380.713775,,2455.89421,,,,,2326.63662,,2455.89421,,2533.448764,,,,,2184.18948,,2305.53334,,2378.339656,,,,,2637.91,2400.4981,2160.44829,,2280.473195,,2352.488138,,,,
4022.163,4245.6165,4379.6886,4111.5444,43,38.7,40.85,42.14,4154.3,160771.41,,169703.155,,175062.202,,,155657.7081,,,164305.3586,,,169493.9488,,,,,,,164305.3586,,173433.434,,178910.2793,,,,,169493.9488,,178910.2793,,184560.0776,,,,,159116.7683,,167956.5887,,173260.481,,,,,4469.07,4066.8537,157387.2382,,166130.9736,,171377.2149,,,,
2706.723,2857.0965,2947.3206,2766.8724,40,36,38,39.2,2565.3,92350.8,,97481.4,,100559.76,,,97442.028,,,102855.474,,,106103.5416,,,,,,,102855.474,,108569.667,,111998.1828,,,,,106103.5416,,111998.1828,,115534.9675,,,,,99607.4064,,105141.1512,,108461.3981,,,,,3007.47,2736.7977,98524.7172,,103998.3126,,107282.4698,,,,
3240.126,3420.133,3528.1372,3312.1288,42,37.8,39.9,41.16,3120.19,117943.182,,124495.581,,128427.0204,,,122476.7628,,,129281.0274,,,133363.5862,,,,,,,129281.0274,,136463.3067,,140772.6743,,,,,133363.5862,,140772.6743,,145218.1272,,,,,125198.4686,,132153.9391,,136327.2214,,,,,3600.14,3276.1274,123837.6157,,130717.4833,,134845.4038,,,,
2267.163,2393.1165,2468.6886,2317.5444,11,9.9,10.45,10.78,2414.82,23906.718,,25234.869,,26031.7596,,,22444.9137,,,23691.85335,,,24440.01714,,,,,,,23691.85335,,25008.06743,,25797.79587,,,,,24440.01714,,25797.79587,,26612.46311,,,,,22943.68956,,24218.33898,,24983.12863,,,,,2519.07,2292.3537,22694.30163,,23955.09617,,24711.57289,,,,
2500.56,2639.48,2722.832,2556.128,39,35.1,37.05,38.22,2416.89,84832.839,,89545.7745,,92373.5358,,,87769.656,,,92645.748,,,95571.4032,,,,,,,92645.748,,97792.734,,100880.9256,,,,,95571.4032,,100880.9256,,104066.639,,,,,89720.0928,,94704.5424,,97695.21216,,,,,2778.4,2528.344,88744.8744,,93675.1452,,96633.30768,,,,
3768.282,3977.631,4103.2404,3852.0216,43,38.7,40.85,42.14,3851.45,149051.115,,157331.7325,,162300.103,,,145832.5134,,,153934.3197,,,158795.4035,,,,,,,153934.3197,,162486.2264,,167617.3703,,,,,158795.4035,,167617.3703,,172910.5505,,,,,149073.2359,,157355.0824,,162324.1902,,,,,4186.98,3810.1518,147452.8747,,155644.701,,160559.7969,,,,
3005.694,3172.677,3272.8668,3072.4872,31,27.9,29.45,30.38,3161.4,88203.06,,93103.23,,96043.332,,,83858.8626,,,88517.6883,,,91312.98372,,,,,,,88517.6883,,93435.33765,,96385.92726,,,,,91312.98372,,96385.92726,,99429.69338,,,,,85722.39288,,90484.74804,,93342.16114,,,,,3339.66,3039.0906,84790.62774,,89501.21817,,92327.57243,,,,
2883.609,3043.8095,3139.9298,2947.6892,17,15.3,16.15,16.66,3184.65,48725.145,,51432.0975,,53056.269,,,44119.2177,,,46570.28535,,,48040.92594,,,,,,,46570.28535,,49157.52343,,50709.86627,,,,,48040.92594,,50709.86627,,52311.23047,,,,,45099.64476,,47605.18058,,49108.50207,,,,,3204.01,2915.6491,44609.43123,,47087.73297,,48574.71401,,,,
2364.21,2495.555,2574.362,2416.748,33,29.7,31.35,32.34,2278.9,67683.33,,71443.515,,73699.626,,,70217.037,,,74117.9835,,,76458.5514,,,,,,,74117.9835,,78235.64925,,80706.2487,,,,,76458.5514,,80706.2487,,83254.86708,,,,,71777.4156,,75765.0498,,78157.63032,,,,,2626.9,2390.479,70997.2263,,74941.51665,,77308.09086,,,,
2837.052,2994.666,3089.2344,2900.0976,32,28.8,30.4,31.36,2678.99,77154.912,,81441.296,,84013.1264,,,81707.0976,,,86246.3808,,,88969.95072,,,,,,,86246.3808,,91037.8464,,93912.72576,,,,,88969.95072,,93912.72576,,96878.39078,,,,,83522.81088,,88162.96704,,90947.06074,,,,,3152.28,2868.5748,82614.95424,,87204.67392,,89958.50573,,,,
3654.936,3857.988,3979.8192,3736.1568,29,26.1,27.55,28.42,3741.3,97647.93,,103072.815,,106327.746,,,95393.8296,,,100693.4868,,,103873.2811,,,,,,,100693.4868,,106287.5694,,109644.019,,,,,103873.2811,,109644.019,,113106.4617,,,,,97513.69248,,102931.1198,,106181.5763,,,,,4061.04,3695.5464,96453.76104,,101812.3033,,105027.4287,,,,
3925.53,4143.615,4274.466,4012.764,21,18.9,19.95,20.58,4138.41,78215.949,,82561.2795,,85168.4778,,,74192.517,,,78314.3235,,,80787.4074,,,,,,,78314.3235,,82665.11925,,85275.5967,,,,,80787.4074,,85275.5967,,87968.51028,,,,,75841.2396,,80054.6418,,82582.68312,,,,,4361.7,3969.147,75016.8783,,79184.48265,,81685.04526,,,,
3388.779,3577.0445,3690.0038,3464.0852,21,18.9,19.95,20.58,3497.98,66111.822,,69784.701,,71988.4284,,,64047.9231,,,67606.14105,,,69741.07182,,,,,,,67606.14105,,71362.03778,,73615.57581,,,,,69741.07182,,73615.57581,,75940.2782,,,,,65471.21028,,69108.49974,,71290.87342,,,,,3765.31,3426.4321,64759.56669,,68357.3204,,70515.97262,,,,
4258.782,4495.381,4637.3404,4353.4216,40,36,38,39.2,4624.16,166469.76,,175718.08,,181267.072,,,153316.152,,,161833.716,,,166944.2544,,,,,,,161833.716,,170824.478,,176218.9352,,,,,166944.2544,,176218.9352,,181783.7437,,,,,156723.1776,,165430.0208,,170654.1267,,,,,4731.98,4306.1018,155019.6648,,163631.8684,,168799.1906,,,,
4039.533,4263.9515,4398.6026,4129.3004,23,20.7,21.85,22.54,4110.6,85089.42,,89816.61,,92652.924,,,83618.3331,,,88263.79605,,,91051.07382,,,,,,,88263.79605,,93167.34028,,96109.46681,,,,,91051.07382,,96109.46681,,99144.5026,,,,,85476.51828,,90225.21374,,93074.43102,,,,,4488.37,4084.4167,84547.42569,,89244.5049,,92062.75242,,,,
2886.282,3046.631,3142.8404,2950.4216,6,5.4,5.7,5.88,2831.23,15288.642,,16138.011,,16647.6324,,,15585.9228,,,16451.8074,,,16971.33816,,,,,,,16451.8074,,17365.7967,,17914.19028,,,,,16971.33816,,17914.19028,,18479.90155,,,,,15932.27664,,16817.40312,,17348.47901,,,,,3206.98,2918.3518,15759.09972,,16634.60526,,17159.90858,,,,
3109.284,3282.022,3385.6648,3178.3792,22,19.8,20.9,21.56,3373.46,66794.508,,70505.314,,72731.7976,,,61563.8232,,,64984.0356,,,67036.16304,,,,,,,64984.0356,,68594.2598,,70760.39432,,,,,67036.16304,,70760.39432,,72994.93309,,,,,62931.90816,,66428.12528,,68525.85555,,,,,3454.76,3143.8316,62247.86568,,65706.08044,,67781.0093,,,,
4567.896,4821.668,4973.9312,4669.4048,38,34.2,36.1,37.24,4635.23,158524.866,,167331.803,,172615.9652,,,156222.0432,,,164901.0456,,,170108.447,,,,,,,164901.0456,,174062.2148,,179558.9163,,,,,170108.447,,179558.9163,,185229.1979,,,,,159693.6442,,168565.5133,,173888.6348,,,,,5075.44,4618.6504,157957.8437,,166733.2794,,171998.5409,,,,
2931.102,3093.941,3191.6444,2996.2376,37,33.3,35.15,36.26,3114.88,103725.504,,109488.032,,112945.5488,,,97605.6966,,,103028.2353,,,106281.7585,,,,,,,103028.2353,,108752.0262,,112186.3007,,,,,106281.7585,,112186.3007,,115729.0259,,,,,99774.71208,,105317.7516,,108643.5754,,,,,3256.78,2963.6698,98690.20434,,104172.9935,,107462.6669,,,,
4161.69,4392.895,4531.618,4254.172,45,40.5,42.75,44.1,4132.79,167377.995,,176676.7725,,182256.039,,,168548.445,,,177912.2475,,,183530.529,,,,,,,177912.2475,,187796.2613,,193726.6695,,,,,183530.529,,193726.6695,,199844.3538,,,,,172293.966,,181865.853,,187608.9852,,,,,4624.1,4207.931,170421.2055,,179889.0503,,185569.7571,,,,
