Pirces_New_Start_10,,prices_New_Strat_5,,Prices_New_Strat_2,,Quantity_Sold,,Quantity_Sold_Dec10,,,Quantity_Sold_Dec5,,,Quantity_Sold_Dec2,,,Sales_10_10,Rev_10_10,,Sales_10_5,Rev_10_5,,Sales_10_2,Rev_10_2,,Prices_New_Strat_8
3843.585,,4057.1175,,4185.237,,30,,27,,,28.5,,,29.4,,,103776.795,,,109542.1725,,,113001.399,,,3928.998
2582.64,,2726.12,,2812.208,,21,,18.9,,,19.95,,,20.58,,,48811.896,,,51523.668,,,53150.7312,,,2640.032
438.885,,463.2675,,477.897,,48,,43.2,,,45.6,,,47.04,,,18959.832,,,20013.156,,,20645.1504,,,448.638
3978.135,,4199.1425,,4331.747,,17,,15.3,,,16.15,,,16.66,,,60865.4655,,,64246.88025,,,66275.7291,,,4066.538
4530.915,,4782.6325,,4933.663,,40,,36,,,38,,,39.2,,,163112.94,,,172174.77,,,177611.868,,,4631.602
2888.298,,3048.759,,3145.0356,,19,,17.1,,,18.05,,,18.62,,,49389.8958,,,52133.7789,,,53780.10876,,,2952.4824
2511.09,,2650.595,,2734.298,,15,,13.5,,,14.25,,,14.7,,,33899.715,,,35783.0325,,,36913.023,,,2566.892
3995.208,,4217.164,,4350.3376,,9,,8.1,,,8.55,,,8.82,,,32361.1848,,,34159.0284,,,35237.73456,,,4083.9904
4566.978,,4820.699,,4972.9316,,10,,9,,,9.5,,,9.8,,,41102.802,,,43386.291,,,44756.3844,,,4668.4664
3849.291,,4063.1405,,4191.4502,,44,,39.6,,,41.8,,,43.12,,,152431.9236,,,160900.3638,,,165981.4279,,,3934.8308
2197.611,,2319.7005,,2392.9542,,31,,27.9,,,29.45,,,30.38,,,61313.3469,,,64719.64395,,,66763.42218,,,2246.4468
3024.36,,3192.38,,3293.192,,23,,20.7,,,21.85,,,22.54,,,62604.252,,,66082.266,,,68169.0744,,,3091.568
3397.185,,3585.9175,,3699.157,,30,,27,,,28.5,,,29.4,,,91723.995,,,96819.7725,,,99877.239,,,3472.678
975.852,,1030.066,,1062.5944,,33,,29.7,,,31.35,,,32.34,,,28982.8044,,,30592.9602,,,31559.05368,,,997.5376
2303.055,,2431.0025,,2507.771,,9,,8.1,,,8.55,,,8.82,,,18654.7455,,,19691.12025,,,20312.9451,,,2354.234
3883.104,,4098.832,,4228.2688,,47,,42.3,,,44.65,,,46.06,,,164255.2992,,,173380.5936,,,178855.7702,,,3969.3952
2985.975,,3151.8625,,3251.395,,1,,0.9,,,0.95,,,0.98,,,2687.3775,,,2836.67625,,,2926.2555,,,3052.33
2165.922,,2286.251,,2358.4484,,44,,39.6,,,41.8,,,43.12,,,85770.5112,,,90535.5396,,,93394.55664,,,2214.0536
3388.068,,3576.294,,3689.2296,,35,,31.5,,,33.25,,,34.3,,,106724.142,,,112653.261,,,116210.7324,,,3463.3584
732.726,,773.433,,797.8572,,11,,9.9,,,10.45,,,10.78,,,7253.9874,,,7656.9867,,,7898.78628,,,749.0088
2014.785,,2126.7175,,2193.877,,34,,30.6,,,32.3,,,33.32,,,61652.421,,,65077.5555,,,67132.6362,,,2059.558
3980.331,,4201.4605,,4334.1382,,16,,14.4,,,15.2,,,15.68,,,57316.7664,,,60501.0312,,,62411.59008,,,4068.7828
1395.171,,1472.6805,,1519.1862,,9,,8.1,,,8.55,,,8.82,,,11300.8851,,,11928.71205,,,12305.40822,,,1426.1748
1197.756,,1264.298,,1304.2232,,32,,28.8,,,30.4,,,31.36,,,34495.3728,,,36411.7824,,,37561.62816,,,1224.3728
4399.614,,4644.037,,4790.6908,,15,,13.5,,,14.25,,,14.7,,,59394.789,,,62694.4995,,,64674.3258,,,4497.3832
1390.5,,1467.75,,1514.1,,12,,10.8,,,11.4,,,11.76,,,15017.4,,,15851.7,,,16352.28,,,1421.4
1284.489,,1355.8495,,1398.6658,,33,,29.7,,,31.35,,,32.34,,,38149.3233,,,40268.73015,,,41540.37426,,,1313.0332
4650.048,,4908.384,,5063.3856,,45,,40.5,,,42.75,,,44.1,,,188326.944,,,198789.552,,,205067.1168,,,4753.3824
3339.828,,3525.374,,3636.7016,,14,,12.6,,,13.3,,,13.72,,,42081.8328,,,44419.7124,,,45822.44016,,,3414.0464
3454.578,,3646.499,,3761.6516,,8,,7.2,,,7.6,,,7.84,,,24872.9616,,,26254.7928,,,27083.89152,,,3531.3464
3976.011,,4196.9005,,4329.4342,,8,,7.2,,,7.6,,,7.84,,,28627.2792,,,30217.6836,,,31171.92624,,,4064.3668
768.294,,810.977,,836.5868,,27,,24.3,,,25.65,,,26.46,,,18669.5442,,,19706.7411,,,20329.05924,,,785.3672
3351.294,,3537.477,,3649.1868,,12,,10.8,,,11.4,,,11.76,,,36193.9752,,,38204.7516,,,39411.21744,,,3425.7672
2374.119,,2506.0145,,2585.1518,,1,,0.9,,,0.95,,,0.98,,,2136.7071,,,2255.41305,,,2326.63662,,,2426.8772
4022.163,,4245.6165,,4379.6886,,43,,38.7,,,40.85,,,42.14,,,155657.7081,,,164305.3586,,,169493.9488,,,4111.5444
2706.723,,2857.0965,,2947.3206,,40,,36,,,38,,,39.2,,,97442.028,,,102855.474,,,106103.5416,,,2766.8724
3240.126,,3420.133,,3528.1372,,42,,37.8,,,39.9,,,41.16,,,122476.7628,,,129281.0274,,,133363.5862,,,3312.1288
2267.163,,2393.1165,,2468.6886,,11,,9.9,,,10.45,,,10.78,,,22444.9137,,,23691.85335,,,24440.01714,,,2317.5444
2500.56,,2639.48,,2722.832,,39,,35.1,,,37.05,,,38.22,,,87769.656,,,92645.748,,,95571.4032,,,2556.128
3768.282,,3977.631,,4103.2404,,43,,38.7,,,40.85,,,42.14,,,145832.5134,,,153934.3197,,,158795.4035,,,3852.0216
3005.694,,3172.677,,3272.8668,,31,,27.9,,,29.45,,,30.38,,,83858.8626,,,88517.6883,,,91312.98372,,,3072.4872
2883.609,,3043.8095,,3139.9298,,17,,15.3,,,16.15,,,16.66,,,44119.2177,,,46570.28535,,,48040.92594,,,2947.6892
2364.21,,2495.555,,2574.362,,33,,29.7,,,31.35,,,32.34,,,70217.037,,,74117.9835,,,76458.5514,,,2416.748
2837.052,,2994.666,,3089.2344,,32,,28.8,,,30.4,,,31.36,,,81707.0976,,,86246.3808,,,88969.95072,,,2900.0976
3654.936,,3857.988,,3979.8192,,29,,26.1,,,27.55,,,28.42,,,95393.8296,,,100693.4868,,,103873.2811,,,3736.1568
3925.53,,4143.615,,4274.466,,21,,18.9,,,19.95,,,20.58,,,74192.517,,,78314.3235,,,80787.4074,,,4012.764
3388.779,,3577.0445,,3690.0038,,21,,18.9,,,19.95,,,20.58,,,64047.9231,,,67606.14105,,,69741.07182,,,3464.0852
4258.782,,4495.381,,4637.3404,,40,,36,,,38,,,39.2,,,153316.152,,,161833.716,,,166944.2544,,,4353.4216
4039.533,,4263.9515,,4398.6026,,23,,20.7,,,21.85,,,22.54,,,83618.3331,,,88263.79605,,,91051.07382,,,4129.3004
2886.282,,3046.631,,3142.8404,,6,,5.4,,,5.7,,,5.88,,,15585.9228,,,16451.8074,,,16971.33816,,,2950.4216
3109.284,,3282.022,,3385.6648,,22,,19.8,,,20.9,,,21.56,,,61563.8232,,,64984.0356,,,67036.16304,,,3178.3792
4567.896,,4821.668,,4973.9312,,38,,34.2,,,36.1,,,37.24,,,156222.0432,,,164901.0456,,,170108.447,,,4669.4048
2931.102,,3093.941,,3191.6444,,37,,33.3,,,35.15,,,36.26,,,97605.6966,,,103028.2353,,,106281.7585,,,2996.2376
4161.69,,4392.895,,4531.618,,45,,40.5,,,42.75,,,44.1,,,168548.445,,,177912.2475,,,183530.529,,,4254.172
3291.507,,3474.3685,,3584.0854,,8,,7.2,,,7.6,,,7.84,,,23698.8504,,,25015.4532,,,25805.41488,,,3364.6516
2591.316,,2735.278,,2821.6552,,41,,36.9,,,38.95,,,40.18,,,95619.5604,,,100931.7582,,,104119.0769,,,2648.9008
1286.496,,1357.968,,1400.8512,,49,,44.1,,,46.55,,,48.02,,,56734.4736,,,59886.3888,,,61777.53792,,,1315.0848
2145.942,,2265.161,,2336.6924,,35,,31.5,,,33.25,,,34.3,,,67597.173,,,71352.5715,,,73605.8106,,,2193.6296
4395.861,,4640.0755,,4786.6042,,11,,9.9,,,10.45,,,10.78,,,43519.0239,,,45936.74745,,,47387.38158,,,4493.5468
3239.343,,3419.3065,,3527.2846,,24,,21.6,,,22.8,,,23.52,,,69969.8088,,,73857.0204,,,76189.34736,,,3311.3284
2831.94,,2989.27,,3083.668,,49,,44.1,,,46.55,,,48.02,,,124888.554,,,131826.807,,,135989.7588,,,2894.872
4536.198,,4788.209,,4939.4156,,21,,18.9,,,19.95,,,20.58,,,85734.1422,,,90497.1501,,,93354.95484,,,4637.0024
2679.768,,2828.644,,2917.9696,,2,,1.8,,,1.9,,,1.96,,,4823.5824,,,5091.5592,,,5252.34528,,,2739.3184
2636.388,,2782.854,,2870.7336,,40,,36,,,38,,,39.2,,,94909.968,,,100182.744,,,103346.4096,,,2694.9744
3460.059,,3652.2845,,3767.6198,,19,,17.1,,,18.05,,,18.62,,,59167.0089,,,62454.06495,,,64426.29858,,,3536.9492
3538.125,,3734.6875,,3852.625,,39,,35.1,,,37.05,,,38.22,,,124188.1875,,,131087.5313,,,135227.1375,,,3616.75
939.105,,991.2775,,1022.581,,28,,25.2,,,26.6,,,27.44,,,23665.446,,,24980.193,,,25769.0412,,,959.974
2555.757,,2697.7435,,2782.9354,,17,,15.3,,,16.15,,,16.66,,,39103.0821,,,41275.47555,,,42578.91162,,,2612.5516
2468.673,,2605.8215,,2688.1106,,6,,5.4,,,5.7,,,5.88,,,13330.8342,,,14071.4361,,,14515.79724,,,2523.5324
1962.747,,2071.7885,,2137.2134,,19,,17.1,,,18.05,,,18.62,,,33562.9737,,,35427.58335,,,36546.34914,,,2006.3636
2553.246,,2695.093,,2780.2012,,38,,34.2,,,36.1,,,37.24,,,87321.0132,,,92172.1806,,,95082.88104,,,2609.9848
1952.019,,2060.4645,,2125.5318,,28,,25.2,,,26.6,,,27.44,,,49190.8788,,,51923.7054,,,53563.40136,,,1995.3972
1070.415,,1129.8825,,1165.563,,2,,1.8,,,1.9,,,1.96,,,1926.747,,,2033.7885,,,2098.0134,,,1094.202
2274.3,,2400.65,,2476.46,,38,,34.2,,,36.1,,,37.24,,,77781.06,,,82102.23,,,84694.932,,,2324.84
774.855,,817.9025,,843.731,,37,,33.3,,,35.15,,,36.26,,,25802.6715,,,27236.15325,,,28096.2423,,,792.074
2619.459,,2764.9845,,2852.2998,,4,,3.6,,,3.8,,,3.92,,,9430.0524,,,9953.9442,,,10268.27928,,,2677.6692
4119.048,,4347.884,,4485.1856,,22,,19.8,,,20.9,,,21.56,,,81557.1504,,,86088.1032,,,88806.67488,,,4210.5824
3602.367,,3802.4985,,3922.5774,,26,,23.4,,,24.7,,,25.48,,,84295.3878,,,88978.4649,,,91788.31116,,,3682.4196
1932.426,,2039.783,,2104.1972,,49,,44.1,,,46.55,,,48.02,,,85219.9866,,,89954.4303,,,92795.09652,,,1975.3688
477.918,,504.469,,520.3996,,43,,38.7,,,40.85,,,42.14,,,18495.4266,,,19522.9503,,,20139.46452,,,488.5384
1050.597,,1108.9635,,1143.9834,,36,,32.4,,,34.2,,,35.28,,,34039.3428,,,35930.4174,,,37065.06216,,,1073.9436
2594.565,,2738.7075,,2825.193,,13,,11.7,,,12.35,,,12.74,,,30356.4105,,,32042.87775,,,33054.7581,,,2652.222
1343.232,,1417.856,,1462.6304,,32,,28.8,,,30.4,,,31.36,,,38685.0816,,,40834.2528,,,42123.75552,,,1373.0816
2681.676,,2830.658,,2920.0472,,17,,15.3,,,16.15,,,16.66,,,41029.6428,,,43309.0674,,,44676.72216,,,2741.2688
1300.473,,1372.7215,,1416.0706,,41,,36.9,,,38.95,,,40.18,,,47987.4537,,,50653.42335,,,52253.00514,,,1329.3724
4248.243,,4484.2565,,4625.8646,,36,,32.4,,,34.2,,,35.28,,,137643.0732,,,145289.9106,,,149878.013,,,4342.6484
2104.794,,2221.727,,2291.8868,,46,,41.4,,,43.7,,,45.08,,,87138.4716,,,91979.4978,,,94884.11352,,,2151.5672
1544.247,,1630.0385,,1681.5134,,19,,17.1,,,18.05,,,18.62,,,26406.6237,,,27873.65835,,,28753.87914,,,1578.5636
3874.23,,4089.465,,4218.606,,35,,31.5,,,33.25,,,34.3,,,122038.245,,,128818.1475,,,132886.089,,,3960.324
1647.243,,1738.7565,,1793.6646,,46,,41.4,,,43.7,,,45.08,,,68195.8602,,,71984.5191,,,74257.71444,,,1683.8484
960.777,,1014.1535,,1046.1794,,40,,36,,,38,,,39.2,,,34587.972,,,36509.526,,,37662.4584,,,982.1276
2797.47,,2952.885,,3046.134,,28,,25.2,,,26.6,,,27.44,,,70496.244,,,74412.702,,,76762.5768,,,2859.636
2724.966,,2876.353,,2967.1852,,1,,0.9,,,0.95,,,0.98,,,2452.4694,,,2588.7177,,,2670.46668,,,2785.5208
3371.319,,3558.6145,,3670.9918,,42,,37.8,,,39.9,,,41.16,,,127435.8582,,,134515.6281,,,138763.49,,,3446.2372
1146.582,,1210.281,,1248.5004,,18,,16.2,,,17.1,,,17.64,,,18574.6284,,,19606.5522,,,20225.70648,,,1172.0616
2237.526,,2361.833,,2436.4172,,48,,43.2,,,45.6,,,47.04,,,96661.1232,,,102031.1856,,,105253.223,,,2287.2488
1688.175,,1781.9625,,1838.235,,40,,36,,,38,,,39.2,,,60774.3,,,64150.65,,,66176.46,,,1725.69
826.353,,872.2615,,899.8066,,33,,29.7,,,31.35,,,32.34,,,24542.6841,,,25906.16655,,,26724.25602,,,844.7164
4370.598,,4613.409,,4759.0956,,12,,10.8,,,11.4,,,11.76,,,47202.4584,,,49824.8172,,,51398.23248,,,4467.7224
3356.343,,3542.8065,,3654.6846,,8,,7.2,,,7.6,,,7.84,,,24165.6696,,,25508.2068,,,26313.72912,,,3430.9284
1565.505,,1652.4775,,1704.661,,24,,21.6,,,22.8,,,23.52,,,33814.908,,,35693.514,,,36820.6776,,,1600.294
2736.657,,2888.6935,,2979.9154,,16,,14.4,,,15.2,,,15.68,,,39407.8608,,,41597.1864,,,42910.78176,,,2797.4716
1327.761,,1401.5255,,1445.7842,,4,,3.6,,,3.8,,,3.92,,,4779.9396,,,5045.4918,,,5204.82312,,,1357.2668
4178.214,,4410.337,,4549.6108,,38,,34.2,,,36.1,,,37.24,,,142894.9188,,,150833.5254,,,155596.6894,,,4271.0632
844.236,,891.138,,919.2792,,44,,39.6,,,41.8,,,43.12,,,33431.7456,,,35289.0648,,,36403.45632,,,862.9968
386.361,,407.8255,,420.7042,,27,,24.3,,,25.65,,,26.46,,,9388.5723,,,9910.15965,,,10223.11206,,,394.9468
2480.004,,2617.782,,2700.4488,,9,,8.1,,,8.55,,,8.82,,,20088.0324,,,21204.0342,,,21873.63528,,,2535.1152
2786.976,,2941.808,,3034.7072,,47,,42.3,,,44.65,,,46.06,,,117889.0848,,,124438.4784,,,128368.1146,,,2848.9088
3057.624,,3227.492,,3329.4128,,16,,14.4,,,15.2,,,15.68,,,44029.7856,,,46475.8848,,,47943.54432,,,3125.5712
722.187,,762.3085,,786.3814,,12,,10.8,,,11.4,,,11.76,,,7799.6196,,,8232.9318,,,8492.91912,,,738.2356
1580.706,,1668.523,,1721.2132,,31,,27.9,,,29.45,,,30.38,,,44101.6974,,,46551.7917,,,48021.84828,,,1615.8328
2489.445,,2627.7475,,2710.729,,24,,21.6,,,22.8,,,23.52,,,53772.012,,,56759.346,,,58551.7464,,,2544.766
1447.884,,1528.322,,1576.5848,,14,,12.6,,,13.3,,,13.72,,,18243.3384,,,19256.8572,,,19864.96848,,,1480.0592
3943.701,,4162.7955,,4294.2522,,45,,40.5,,,42.75,,,44.1,,,159719.8905,,,168593.2178,,,173917.2141,,,4031.3388
624.06,,658.73,,679.532,,25,,22.5,,,23.75,,,24.5,,,14041.35,,,14821.425,,,15289.47,,,637.928
2269.593,,2395.6815,,2471.3346,,34,,30.6,,,32.3,,,33.32,,,69449.5458,,,73307.8539,,,75622.83876,,,2320.0284
3358.8,,3545.4,,3657.36,,3,,2.7,,,2.85,,,2.94,,,9068.76,,,9572.58,,,9874.872,,,3433.44
1230.984,,1299.372,,1340.4048,,24,,21.6,,,22.8,,,23.52,,,26589.2544,,,28066.4352,,,28952.74368,,,1258.3392
3014.433,,3181.9015,,3282.3826,,42,,37.8,,,39.9,,,41.16,,,113945.5674,,,120275.8767,,,124074.0623,,,3081.4204
3846.24,,4059.92,,4188.128,,9,,8.1,,,8.55,,,8.82,,,31154.544,,,32885.352,,,33923.8368,,,3931.712
1137.141,,1200.3155,,1238.2202,,26,,23.4,,,24.7,,,25.48,,,26609.0994,,,28087.3827,,,28974.35268,,,1162.4108
4579.452,,4833.866,,4986.5144,,20,,18,,,19,,,19.6,,,82430.136,,,87009.588,,,89757.2592,,,4681.2176
2873.133,,3032.7515,,3128.5226,,40,,36,,,38,,,39.2,,,103432.788,,,109179.054,,,112626.8136,,,2936.9804
1760.004,,1857.782,,1916.4488,,10,,9,,,9.5,,,9.8,,,15840.036,,,16720.038,,,17248.0392,,,1799.1152
2253.627,,2378.8285,,2453.9494,,19,,17.1,,,18.05,,,18.62,,,38537.0217,,,40677.96735,,,41962.53474,,,2303.7076
1463.139,,1544.4245,,1593.1958,,3,,2.7,,,2.85,,,2.94,,,3950.4753,,,4169.94615,,,4301.62866,,,1495.6532
3375.567,,3563.0985,,3675.6174,,24,,21.6,,,22.8,,,23.52,,,72912.2472,,,76962.9276,,,79393.33584,,,3450.5796
4009.473,,4232.2215,,4365.8706,,5,,4.5,,,4.75,,,4.9,,,18042.6285,,,19044.99675,,,19646.4177,,,4098.5724
3926.196,,4144.318,,4275.1912,,3,,2.7,,,2.85,,,2.94,,,10600.7292,,,11189.6586,,,11543.01624,,,4013.4448
4491.297,,4740.8135,,4890.5234,,27,,24.3,,,25.65,,,26.46,,,109138.5171,,,115201.7681,,,118839.7186,,,4591.1036
3888.936,,4104.988,,4234.6192,,16,,14.4,,,15.2,,,15.68,,,56000.6784,,,59111.8272,,,60978.51648,,,3975.3568
2865.222,,3024.401,,3119.9084,,49,,44.1,,,46.55,,,48.02,,,126356.2902,,,133376.0841,,,137587.9604,,,2928.8936
1683.792,,1777.336,,1833.4624,,15,,13.5,,,14.25,,,14.7,,,22731.192,,,23994.036,,,24751.7424,,,1721.2096
2920.284,,3082.522,,3179.8648,,35,,31.5,,,33.25,,,34.3,,,91988.946,,,97099.443,,,100165.7412,,,2985.1792
615.402,,649.591,,670.1044,,12,,10.8,,,11.4,,,11.76,,,6646.3416,,,7015.5828,,,7237.12752,,,629.0776
3552.093,,3749.4315,,3867.8346,,41,,36.9,,,38.95,,,40.18,,,131072.2317,,,138354.0224,,,142723.0967,,,3631.0284
2473.029,,2610.4195,,2692.8538,,44,,39.6,,,41.8,,,43.12,,,97931.9484,,,103372.6122,,,106637.0105,,,2527.9852
429.903,,453.7865,,468.1166,,26,,23.4,,,24.7,,,25.48,,,10059.7302,,,10618.6041,,,10953.92844,,,439.4564
659.7,,696.35,,718.34,,47,,42.3,,,44.65,,,46.06,,,27905.31,,,29455.605,,,30385.782,,,674.36
1794.06,,1893.73,,1953.532,,34,,30.6,,,32.3,,,33.32,,,54898.236,,,57948.138,,,59778.0792,,,1833.928
2706.777,,2857.1535,,2947.3794,,23,,20.7,,,21.85,,,22.54,,,56030.2839,,,59143.07745,,,61010.75358,,,2766.9276
2401.218,,2534.619,,2614.6596,,31,,27.9,,,29.45,,,30.38,,,66993.9822,,,70715.8701,,,72949.00284,,,2454.5784
3209.022,,3387.301,,3494.2684,,20,,18,,,19,,,19.6,,,57762.396,,,60971.418,,,62896.8312,,,3280.3336
2468.781,,2605.9355,,2688.2282,,12,,10.8,,,11.4,,,11.76,,,26662.8348,,,28144.1034,,,29032.86456,,,2523.6428
3060.99,,3231.045,,3333.078,,23,,20.7,,,21.85,,,22.54,,,63362.493,,,66882.6315,,,68994.7146,,,3129.012
1081.251,,1141.3205,,1177.3622,,4,,3.6,,,3.8,,,3.92,,,3892.5036,,,4108.7538,,,4238.50392,,,1105.2788
928.998,,980.609,,1011.5756,,23,,20.7,,,21.85,,,22.54,,,19230.2586,,,20298.6063,,,20939.61492,,,949.6424
2772.549,,2926.5795,,3018.9978,,48,,43.2,,,45.6,,,47.04,,,119774.1168,,,126428.2344,,,130420.705,,,2834.1612
2442.708,,2578.414,,2659.8376,,48,,43.2,,,45.6,,,47.04,,,105524.9856,,,111387.4848,,,114904.9843,,,2496.9904
190.062,,200.621,,206.9564,,1,,0.9,,,0.95,,,0.98,,,171.0558,,,180.5589,,,186.26076,,,194.2856
1784.628,,1883.774,,1943.2616,,25,,22.5,,,23.75,,,24.5,,,40154.13,,,42384.915,,,43723.386,,,1824.2864
823.293,,869.0315,,896.4746,,2,,1.8,,,1.9,,,1.96,,,1481.9274,,,1564.2567,,,1613.65428,,,841.5884
2725.128,,2876.524,,2967.3616,,30,,27,,,28.5,,,29.4,,,73578.456,,,77666.148,,,80118.7632,,,2785.6864
1967.778,,2077.099,,2142.6916,,3,,2.7,,,2.85,,,2.94,,,5313.0006,,,5608.1673,,,5785.26732,,,2011.5064
2880.675,,3040.7125,,3136.735,,21,,18.9,,,19.95,,,20.58,,,54444.7575,,,57469.46625,,,59284.2915,,,2944.69
4001.805,,4224.1275,,4357.521,,25,,22.5,,,23.75,,,24.5,,,90040.6125,,,95042.86875,,,98044.2225,,,4090.734
1484.766,,1567.253,,1616.7452,,20,,18,,,19,,,19.6,,,26725.788,,,28210.554,,,29101.4136,,,1517.7608
4579.2,,4833.6,,4986.24,,49,,44.1,,,46.55,,,48.02,,,201942.72,,,213161.76,,,219893.184,,,4680.96
2867.229,,3026.5195,,3122.0938,,22,,19.8,,,20.9,,,21.56,,,56771.1342,,,59925.0861,,,61817.45724,,,2930.9452
2873.691,,3033.3405,,3129.1302,,21,,18.9,,,19.95,,,20.58,,,54312.7599,,,57330.13545,,,59140.56078,,,2937.5508
3501.324,,3695.842,,3812.5528,,33,,29.7,,,31.35,,,32.34,,,103989.3228,,,109766.5074,,,113232.8182,,,3579.1312
3104.946,,3277.443,,3380.9412,,38,,34.2,,,36.1,,,37.24,,,106189.1532,,,112088.5506,,,115628.189,,,3173.9448
2580.624,,2723.992,,2810.0128,,15,,13.5,,,14.25,,,14.7,,,34838.424,,,36773.892,,,37935.1728,,,2637.9712
2130.399,,2248.7545,,2319.7678,,46,,41.4,,,43.7,,,45.08,,,88198.5186,,,93098.4363,,,96038.38692,,,2177.7412
719.136,,759.088,,783.0592,,15,,13.5,,,14.25,,,14.7,,,9708.336,,,10247.688,,,10571.2992,,,735.1168
273.024,,288.192,,297.2928,,46,,41.4,,,43.7,,,45.08,,,11303.1936,,,11931.1488,,,12307.92192,,,279.0912
1824.966,,1926.353,,1987.1852,,25,,22.5,,,23.75,,,24.5,,,41061.735,,,43342.9425,,,44711.667,,,1865.5208
1973.898,,2083.559,,2149.3556,,21,,18.9,,,19.95,,,20.58,,,37306.6722,,,39379.2651,,,40622.82084,,,2017.7624
2017.764,,2129.862,,2197.1208,,24,,21.6,,,22.8,,,23.52,,,43583.7024,,,46005.0192,,,47457.80928,,,2062.6032
892.089,,941.6495,,971.3858,,5,,4.5,,,4.75,,,4.9,,,4014.4005,,,4237.42275,,,4371.2361,,,911.9132
3456.216,,3648.228,,3763.4352,,6,,5.4,,,5.7,,,5.88,,,18663.5664,,,19700.4312,,,20322.55008,,,3533.0208
4181.076,,4413.358,,4552.7272,,49,,44.1,,,46.55,,,48.02,,,184385.4516,,,194629.0878,,,200775.2695,,,4273.9888
4242.312,,4477.996,,4619.4064,,43,,38.7,,,40.85,,,42.14,,,164177.4744,,,173298.4452,,,178771.0277,,,4336.5856
2269.305,,2395.3775,,2471.021,,48,,43.2,,,45.6,,,47.04,,,98033.976,,,103480.308,,,106748.1072,,,2319.734
3440.682,,3631.831,,3746.5204,,44,,39.6,,,41.8,,,43.12,,,136251.0072,,,143820.5076,,,148362.2078,,,3517.1416
4016.16,,4239.28,,4373.152,,47,,42.3,,,44.65,,,46.06,,,169883.568,,,179321.544,,,184984.3296,,,4105.408
2337.903,,2467.7865,,2545.7166,,23,,20.7,,,21.85,,,22.54,,,48394.5921,,,51083.18055,,,52696.33362,,,2389.8564
1830.735,,1932.4425,,1993.467,,4,,3.6,,,3.8,,,3.92,,,6590.646,,,6956.793,,,7176.4812,,,1871.418
4541.859,,4794.1845,,4945.5798,,27,,24.3,,,25.65,,,26.46,,,110367.1737,,,116498.6834,,,120177.5891,,,4642.7892
2712.141,,2862.8155,,2953.2202,,18,,16.2,,,17.1,,,17.64,,,43936.6842,,,46377.6111,,,47842.16724,,,2772.4108
2563.56,,2705.98,,2791.432,,21,,18.9,,,19.95,,,20.58,,,48451.284,,,51143.022,,,52758.0648,,,2620.528
904.23,,954.465,,984.606,,28,,25.2,,,26.6,,,27.44,,,22786.596,,,24052.518,,,24812.0712,,,924.324
873.441,,921.9655,,951.0802,,35,,31.5,,,33.25,,,34.3,,,27513.3915,,,29041.91325,,,29959.0263,,,892.8508
3898.278,,4114.849,,4244.7916,,22,,19.8,,,20.9,,,21.56,,,77185.9044,,,81474.0102,,,84046.87368,,,3984.9064
2932.605,,3095.5275,,3193.281,,40,,36,,,38,,,39.2,,,105573.78,,,111438.99,,,114958.116,,,2997.774
1866.825,,1970.5375,,2032.765,,23,,20.7,,,21.85,,,22.54,,,38643.2775,,,40790.12625,,,42078.2355,,,1908.31
